Timestamp,Satellite 1,Satellite 2,Distance (m)
2025-07-26T15:54:04Z,STARLINK-4411,STARLINK-4410,1357.99
2025-07-26T15:54:51Z,STARLINK-5619,STARLINK-5593,2868.36
2025-07-26T15:58:15Z,STARLINK-34492,STARLINK-34375,1310.57
2025-07-26T15:58:20Z,STARLINK-34185,STARLINK-34592,3642.37
2025-07-26T16:04:04Z,STARLINK-4411,STARLINK-4410,1554.77
2025-07-26T16:04:51Z,STARLINK-5619,STARLINK-5593,3003.93
2025-07-26T16:08:15Z,STARLINK-34492,STARLINK-34375,1108.73
2025-07-26T16:08:20Z,STARLINK-34185,STARLINK-34592,3504.11
2025-07-26T16:14:04Z,STARLINK-4411,STARLINK-4410,1571.75
2025-07-26T16:14:51Z,STARLINK-5619,STARLINK-5593,3095.40
2025-07-26T16:18:15Z,STARLINK-34492,STARLINK-34375,895.26
2025-07-26T16:18:20Z,STARLINK-34185,STARLINK-34592,2941.14
2025-07-26T16:24:04Z,STARLINK-4411,STARLINK-4410,1375.23
2025-07-26T16:24:51Z,STARLINK-5619,STARLINK-5593,3175.03
2025-07-26T16:28:15Z,STARLINK-34492,STARLINK-34375,1314.99
2025-07-26T16:28:20Z,STARLINK-34185,STARLINK-34592,2060.58
2025-07-26T16:34:04Z,STARLINK-4411,STARLINK-4410,1086.01
2025-07-26T16:34:51Z,STARLINK-5619,STARLINK-5593,3299.16
2025-07-26T16:38:15Z,STARLINK-34492,STARLINK-34375,2232.65
2025-07-26T16:38:20Z,STARLINK-34185,STARLINK-34592,1127.81
2025-07-26T16:44:04Z,STARLINK-4411,STARLINK-4410,958.39
2025-07-26T16:44:51Z,STARLINK-5619,STARLINK-5593,3437.12
2025-07-26T16:48:15Z,STARLINK-34492,STARLINK-34375,3154.23
2025-07-26T16:48:20Z,STARLINK-34185,STARLINK-34592,445.55
2025-07-26T16:54:04Z,STARLINK-4411,STARLINK-4410,1134.03
2025-07-26T16:54:51Z,STARLINK-5619,STARLINK-5593,3497.09
2025-07-26T16:58:15Z,STARLINK-34492,STARLINK-34375,3798.88
2025-07-26T16:58:20Z,STARLINK-34185,STARLINK-34592,227.45
2025-07-26T17:04:04Z,STARLINK-4411,STARLINK-4410,1454.35
2025-07-26T17:04:51Z,STARLINK-5619,STARLINK-5593,3456.32
2025-07-26T17:08:15Z,STARLINK-34492,STARLINK-34375,4099.50
2025-07-26T17:08:20Z,STARLINK-34185,STARLINK-34592,404.49
2025-07-26T17:14:04Z,STARLINK-4411,STARLINK-4410,1789.07
