Timestamp,Satellite 1,Satellite 2,Distance (m),Relative Velocity (m/s)
2025-07-26 15:54:04+00:00,STARLINK-4410,STARLINK-4411,1357.99,0.00
2025-07-26 15:54:51+00:00,STARLINK-5593,STARLINK-5619,2868.36,0.00
2025-07-26 15:58:15+00:00,STARLINK-34375,STARLINK-34492,1310.57,0.00
2025-07-26 15:58:20+00:00,STARLINK-34185,STARLINK-34592,3642.37,0.00
2025-07-26 16:04:04+00:00,STARLINK-4410,STARLINK-4411,1554.77,1.56
2025-07-26 16:04:51+00:00,STARLINK-5593,STARLINK-5619,3003.93,3.40
2025-07-26 16:08:15+00:00,STARLINK-34375,STARLINK-34492,1108.73,0.84
2025-07-26 16:08:20+00:00,STARLINK-34185,STARLINK-34592,3504.11,3.48
2025-07-26 16:14:04+00:00,STARLINK-4410,STARLINK-4411,1571.75,1.58
2025-07-26 16:14:51+00:00,STARLINK-5593,STARLINK-5619,3095.40,3.50
2025-07-26 16:18:15+00:00,STARLINK-34375,STARLINK-34492,895.26,0.49
2025-07-26 16:18:20+00:00,STARLINK-34185,STARLINK-34592,2941.14,3.11
2025-07-26 16:24:04+00:00,STARLINK-4410,STARLINK-4411,1375.23,1.56
2025-07-26 16:24:51+00:00,STARLINK-5593,STARLINK-5619,3175.03,3.65
2025-07-26 16:28:15+00:00,STARLINK-34375,STARLINK-34492,1314.99,0.97
2025-07-26 16:28:20+00:00,STARLINK-34185,STARLINK-34592,2060.58,2.57
2025-07-26 16:34:04+00:00,STARLINK-4410,STARLINK-4411,1086.01,1.56
2025-07-26 16:34:51+00:00,STARLINK-5593,STARLINK-5619,3299.16,3.77
2025-07-26 16:38:15+00:00,STARLINK-34375,STARLINK-34492,2232.65,1.79
2025-07-26 16:38:20+00:00,STARLINK-34185,STARLINK-34592,1127.81,1.90
2025-07-26 16:44:04+00:00,STARLINK-4410,STARLINK-4411,958.39,1.57
2025-07-26 16:44:51+00:00,STARLINK-5593,STARLINK-5619,3437.12,3.84
2025-07-26 16:48:15+00:00,STARLINK-34375,STARLINK-34492,3154.23,2.64
2025-07-26 16:48:20+00:00,STARLINK-34185,STARLINK-34592,445.55,1.22
2025-07-26 16:54:04+00:00,STARLINK-4410,STARLINK-4411,1134.03,1.56
2025-07-26 16:54:51+00:00,STARLINK-5593,STARLINK-5619,3497.09,3.89
2025-07-26 16:58:15+00:00,STARLINK-34375,STARLINK-34492,3798.88,3.39
2025-07-26 16:58:20+00:00,STARLINK-34185,STARLINK-34592,227.45,0.70
2025-07-26 17:04:04+00:00,STARLINK-4410,STARLINK-4411,1454.35,1.66
2025-07-26 17:04:51+00:00,STARLINK-5593,STARLINK-5619,3456.32,3.96
2025-07-26 17:08:15+00:00,STARLINK-34375,STARLINK-34492,4099.50,4.00
2025-07-26 17:08:20+00:00,STARLINK-34185,STARLINK-34592,404.49,0.59
2025-07-26 17:14:04+00:00,STARLINK-4410,STARLINK-4411,1789.07,1.94
2025-07-26 17:14:51+00:00,STARLINK-5593,STARLINK-5619,3410.22,4.03
2025-07-26 17:18:01+00:00,STARLINK-33790,STARLINK-34024,4831.74,5.96
2025-07-26 17:18:15+00:00,STARLINK-34375,STARLINK-34492,4171.69,4.47
2025-07-26 17:18:20+00:00,STARLINK-34185,STARLINK-34592,728.82,0.73
2025-07-26 17:24:04+00:00,STARLINK-4410,STARLINK-4411,2104.17,2.27
2025-07-26 17:24:51+00:00,STARLINK-5593,STARLINK-5619,3459.52,4.08
2025-07-26 17:28:01+00:00,STARLINK-33790,STARLINK-34024,3093.20,3.41
2025-07-26 17:28:15+00:00,STARLINK-34375,STARLINK-34492,4216.00,4.85
2025-07-26 17:28:20+00:00,STARLINK-34185,STARLINK-34592,969.77,0.74
2025-07-26 17:34:04+00:00,STARLINK-4410,STARLINK-4411,2364.88,2.52
2025-07-26 17:34:51+00:00,STARLINK-5593,STARLINK-5619,3589.51,4.13
2025-07-26 17:38:01+00:00,STARLINK-33790,STARLINK-34024,2869.36,1.58
2025-07-26 17:38:15+00:00,STARLINK-34375,STARLINK-34492,4452.52,5.27
2025-07-26 17:38:20+00:00,STARLINK-34185,STARLINK-34592,950.54,0.58
2025-07-26 17:44:04+00:00,STARLINK-4410,STARLINK-4411,2490.53,2.64
2025-07-26 17:44:51+00:00,STARLINK-5593,STARLINK-5619,3710.75,4.20
2025-07-26 17:47:30+00:00,STARLINK-32704,STARLINK-32842,3325.02,4.41
2025-07-26 17:48:01+00:00,STARLINK-33790,STARLINK-34024,4175.38,2.74
2025-07-26 17:48:20+00:00,STARLINK-34185,STARLINK-34592,805.80,0.53
2025-07-26 17:54:04+00:00,STARLINK-4410,STARLINK-4411,2407.09,2.66
2025-07-26 17:54:51+00:00,STARLINK-5593,STARLINK-5619,3791.80,4.32
2025-07-26 17:57:30+00:00,STARLINK-32704,STARLINK-32842,2308.65,2.41
2025-07-26 17:58:20+00:00,STARLINK-34185,STARLINK-34592,1161.31,0.92
2025-07-26 18:04:04+00:00,STARLINK-4410,STARLINK-4411,2156.35,2.64
2025-07-26 18:04:51+00:00,STARLINK-5593,STARLINK-5619,3886.24,4.46
2025-07-26 18:07:30+00:00,STARLINK-32704,STARLINK-32842,3113.08,1.88
2025-07-26 18:08:20+00:00,STARLINK-34185,STARLINK-34592,1921.55,1.48
2025-07-26 18:14:04+00:00,STARLINK-4410,STARLINK-4411,1922.19,2.61
2025-07-26 18:14:51+00:00,STARLINK-5593,STARLINK-5619,4024.15,4.56
2025-07-26 18:17:30+00:00,STARLINK-32704,STARLINK-32842,4833.01,3.74
2025-07-26 18:18:20+00:00,STARLINK-34185,STARLINK-34592,2544.01,2.00
2025-07-26 18:24:04+00:00,STARLINK-4410,STARLINK-4411,1905.57,2.60
2025-07-26 18:24:51+00:00,STARLINK-5593,STARLINK-5619,4141.67,4.63
2025-07-26 18:28:19+00:00,STARLINK-34548,STARLINK-34558,4824.96,5.83
2025-07-26 18:28:20+00:00,STARLINK-34185,STARLINK-34592,2782.71,2.38
2025-07-26 18:34:04+00:00,STARLINK-4410,STARLINK-4411,2133.18,2.66
2025-07-26 18:34:51+00:00,STARLINK-5593,STARLINK-5619,4159.22,4.69
2025-07-26 18:38:19+00:00,STARLINK-34548,STARLINK-34558,4328.76,5.12
2025-07-26 18:38:20+00:00,STARLINK-34185,STARLINK-34592,2605.47,2.57
2025-07-26 18:44:04+00:00,STARLINK-4410,STARLINK-4411,2476.00,2.85
2025-07-26 18:44:51+00:00,STARLINK-5593,STARLINK-5619,4102.74,4.75
2025-07-26 18:48:19+00:00,STARLINK-34548,STARLINK-34558,3726.70,4.37
2025-07-26 18:48:20+00:00,STARLINK-34185,STARLINK-34592,2151.10,2.60
2025-07-26 18:54:04+00:00,STARLINK-4410,STARLINK-4411,2826.39,3.15
2025-07-26 18:54:51+00:00,STARLINK-5593,STARLINK-5619,4087.03,4.81
2025-07-26 18:58:19+00:00,STARLINK-34548,STARLINK-34558,2965.71,3.56
2025-07-26 18:58:20+00:00,STARLINK-34185,STARLINK-34592,1731.42,2.54
2025-07-26 19:04:04+00:00,STARLINK-4410,STARLINK-4411,3136.93,3.44
2025-07-26 19:04:51+00:00,STARLINK-5593,STARLINK-5619,4174.98,4.86
2025-07-26 19:08:19+00:00,STARLINK-34548,STARLINK-34558,2075.70,2.65
2025-07-26 19:08:20+00:00,STARLINK-34185,STARLINK-34592,1750.45,2.58
2025-07-26 19:14:04+00:00,STARLINK-4410,STARLINK-4411,3356.00,3.65
2025-07-26 19:14:51+00:00,STARLINK-5593,STARLINK-5619,4310.97,4.92
2025-07-26 19:18:19+00:00,STARLINK-34548,STARLINK-34558,1244.49,1.70
2025-07-26 19:18:20+00:00,STARLINK-34185,STARLINK-34592,2361.87,2.91
2025-07-26 19:24:04+00:00,STARLINK-4410,STARLINK-4411,3399.70,3.75
2025-07-26 19:24:51+00:00,STARLINK-5593,STARLINK-5619,4414.65,5.02
2025-07-26 19:28:19+00:00,STARLINK-34548,STARLINK-34558,841.01,0.81
2025-07-26 19:28:20+00:00,STARLINK-34185,STARLINK-34592,3338.29,3.53
2025-07-26 19:34:04+00:00,STARLINK-4410,STARLINK-4411,3233.20,3.75
2025-07-26 19:34:51+00:00,STARLINK-5593,STARLINK-5619,4492.82,5.14
2025-07-26 19:38:19+00:00,STARLINK-34548,STARLINK-34558,1075.76,0.50
2025-07-26 19:38:20+00:00,STARLINK-34185,STARLINK-34592,4353.45,4.26
2025-07-26 19:44:04+00:00,STARLINK-4410,STARLINK-4411,2966.79,3.71
2025-07-26 19:44:51+00:00,STARLINK-5593,STARLINK-5619,4605.29,5.26
2025-07-26 19:48:19+00:00,STARLINK-34548,STARLINK-34558,1488.78,1.11
2025-07-26 19:54:04+00:00,STARLINK-4410,STARLINK-4411,2807.52,3.68
2025-07-26 19:54:51+00:00,STARLINK-5593,STARLINK-5619,4747.32,5.35
2025-07-26 19:58:19+00:00,STARLINK-34548,STARLINK-34558,1887.67,1.80
2025-07-26 20:04:04+00:00,STARLINK-4410,STARLINK-4411,2891.15,3.69
2025-07-26 20:04:51+00:00,STARLINK-5593,STARLINK-5619,4832.93,5.42
2025-07-26 20:08:19+00:00,STARLINK-34548,STARLINK-34558,2338.45,2.47
2025-07-26 20:14:04+00:00,STARLINK-4410,STARLINK-4411,3176.59,3.82
2025-07-26 20:14:51+00:00,STARLINK-5593,STARLINK-5619,4812.05,5.49
2025-07-26 20:18:19+00:00,STARLINK-34548,STARLINK-34558,2959.20,3.21
2025-07-26 20:18:20+00:00,STARLINK-34185,STARLINK-34592,4885.14,5.64
2025-07-26 20:24:04+00:00,STARLINK-4410,STARLINK-4411,3534.43,4.06
2025-07-26 20:24:51+00:00,STARLINK-5593,STARLINK-5619,4757.18,5.54
2025-07-26 20:28:19+00:00,STARLINK-34548,STARLINK-34558,3796.90,4.06
2025-07-26 20:28:20+00:00,STARLINK-34185,STARLINK-34592,4434.29,5.57
2025-07-26 20:34:04+00:00,STARLINK-4410,STARLINK-4411,3876.87,4.36
2025-07-26 20:34:51+00:00,STARLINK-5593,STARLINK-5619,4780.82,5.59
2025-07-26 20:38:19+00:00,STARLINK-34548,STARLINK-34558,4773.69,5.01
2025-07-26 20:38:20+00:00,STARLINK-34185,STARLINK-34592,4352.10,5.58
2025-07-26 20:44:04+00:00,STARLINK-4410,STARLINK-4411,4161.21,4.62
2025-07-26 20:44:51+00:00,STARLINK-5593,STARLINK-5619,4898.87,5.65
2025-07-26 20:48:20+00:00,STARLINK-34185,STARLINK-34592,4848.35,5.85
2025-07-26 20:54:04+00:00,STARLINK-4410,STARLINK-4411,4321.92,4.79
2025-07-26 21:04:04+00:00,STARLINK-4410,STARLINK-4411,4278.62,4.85
2025-07-26 21:14:04+00:00,STARLINK-4410,STARLINK-4411,4049.40,4.84
2025-07-26 21:24:04+00:00,STARLINK-4410,STARLINK-4411,3802.78,4.78
2025-07-26 21:34:04+00:00,STARLINK-4410,STARLINK-4411,3735.87,4.75
2025-07-26 21:44:04+00:00,STARLINK-4410,STARLINK-4411,3912.74,4.82
2025-07-26 21:54:04+00:00,STARLINK-4410,STARLINK-4411,4241.53,5.00
2025-07-26 22:04:04+00:00,STARLINK-4410,STARLINK-4411,4598.74,5.27
2025-07-26 22:14:04+00:00,STARLINK-4410,STARLINK-4411,4921.77,5.55
2025-07-26 22:54:04+00:00,STARLINK-4410,STARLINK-4411,4864.50,5.91
2025-07-26 23:04:04+00:00,STARLINK-4410,STARLINK-4411,4671.64,5.85
2025-07-26 23:14:04+00:00,STARLINK-4410,STARLINK-4411,4707.56,5.86
2025-07-26 23:18:07+00:00,STARLINK-34318,STARLINK-34337,3604.34,7.64
2025-07-26 23:24:04+00:00,STARLINK-4410,STARLINK-4411,4963.18,5.98
2025-07-26 23:28:07+00:00,STARLINK-34318,STARLINK-34337,4598.16,6.46
2025-07-27 01:14:00+00:00,STARLINK-4309,STARLINK-4320,4152.20,4.91
2025-07-27 01:18:03+00:00,STARLINK-33970,STARLINK-34145,4966.35,5.73
2025-07-27 01:24:00+00:00,STARLINK-4309,STARLINK-4320,4384.79,2.25
2025-07-27 01:28:03+00:00,STARLINK-33970,STARLINK-34145,4804.47,5.57
2025-07-27 01:38:03+00:00,STARLINK-33970,STARLINK-34145,4655.18,5.40
2025-07-27 01:48:03+00:00,STARLINK-33970,STARLINK-34145,4549.87,5.25
2025-07-27 01:58:03+00:00,STARLINK-33970,STARLINK-34145,4503.21,5.14
2025-07-27 02:08:03+00:00,STARLINK-33970,STARLINK-34145,4472.36,5.05
2025-07-27 02:18:03+00:00,STARLINK-33970,STARLINK-34145,4388.31,4.95
2025-07-27 02:28:03+00:00,STARLINK-33970,STARLINK-34145,4229.47,4.81
2025-07-27 02:38:03+00:00,STARLINK-33970,STARLINK-34145,4036.51,4.64
2025-07-27 02:48:03+00:00,STARLINK-33970,STARLINK-34145,3852.33,4.46
2025-07-27 02:58:03+00:00,STARLINK-33970,STARLINK-34145,3684.51,4.29
2025-07-27 03:08:03+00:00,STARLINK-33970,STARLINK-34145,3531.28,4.13
2025-07-27 03:18:03+00:00,STARLINK-33970,STARLINK-34145,3412.56,3.98
2025-07-27 03:28:03+00:00,STARLINK-33970,STARLINK-34145,3347.71,3.85
2025-07-27 03:38:03+00:00,STARLINK-33970,STARLINK-34145,3313.91,3.75
2025-07-27 03:48:03+00:00,STARLINK-33970,STARLINK-34145,3251.02,3.65
2025-07-27 03:58:03+00:00,STARLINK-33970,STARLINK-34145,3118.94,3.53
2025-07-27 04:04:00+00:00,STARLINK-4252,STARLINK-4313,4289.65,6.47
2025-07-27 04:08:03+00:00,STARLINK-33970,STARLINK-34145,2935.75,3.37
2025-07-27 04:14:00+00:00,STARLINK-4252,STARLINK-4313,2767.65,4.69
2025-07-27 04:18:03+00:00,STARLINK-33970,STARLINK-34145,2744.70,3.20
2025-07-27 04:24:00+00:00,STARLINK-4252,STARLINK-4313,1842.02,3.38
2025-07-27 04:28:03+00:00,STARLINK-33970,STARLINK-34145,2568.28,3.02
2025-07-27 04:34:00+00:00,STARLINK-4252,STARLINK-4313,1579.76,2.49
2025-07-27 04:38:01+00:00,STARLINK-34046,STARLINK-34089,4814.44,11.24
2025-07-27 04:38:03+00:00,STARLINK-33970,STARLINK-34145,2409.80,2.85
2025-07-27 04:44:00+00:00,STARLINK-4252,STARLINK-4313,1602.41,1.64
2025-07-27 04:48:01+00:00,STARLINK-34046,STARLINK-34089,4488.09,14.07
2025-07-27 04:48:03+00:00,STARLINK-33970,STARLINK-34145,2280.69,2.70
2025-07-27 04:54:00+00:00,STARLINK-4252,STARLINK-4313,1495.10,0.58
2025-07-27 04:58:03+00:00,STARLINK-33970,STARLINK-34145,2198.92,2.57
2025-07-27 05:04:00+00:00,STARLINK-4252,STARLINK-4313,1713.24,0.99
2025-07-27 05:08:03+00:00,STARLINK-33970,STARLINK-34145,2156.53,2.47
2025-07-27 05:14:00+00:00,STARLINK-4252,STARLINK-4313,3009.24,2.65
2025-07-27 05:18:03+00:00,STARLINK-33970,STARLINK-34145,2107.01,2.36
2025-07-27 05:24:00+00:00,STARLINK-4252,STARLINK-4313,4961.05,4.49
2025-07-27 05:28:03+00:00,STARLINK-33970,STARLINK-34145,2001.57,2.24
2025-07-27 05:38:03+00:00,STARLINK-33970,STARLINK-34145,1835.64,2.10
2025-07-27 05:48:03+00:00,STARLINK-33970,STARLINK-34145,1644.22,1.94
2025-07-27 05:58:03+00:00,STARLINK-33970,STARLINK-34145,1460.76,1.76
2025-07-27 06:08:03+00:00,STARLINK-33970,STARLINK-34145,1297.24,1.58
2025-07-27 06:18:03+00:00,STARLINK-33970,STARLINK-34145,1158.50,1.42
2025-07-27 06:28:03+00:00,STARLINK-33970,STARLINK-34145,1058.24,1.29
2025-07-27 06:37:58+00:00,STARLINK-33993,STARLINK-34020,4857.01,3.77
2025-07-27 06:38:03+00:00,STARLINK-33970,STARLINK-34145,1003.46,1.19
2025-07-27 06:48:03+00:00,STARLINK-33970,STARLINK-34145,964.59,1.08
