OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-01-27T22:00:01.999584,15.28629070,.0001437,53.1482,8.3860,97.2786,322.0182,0,U,44714,999,573,.30443E-1,.927767E-2,0
STARLINK-1012,2019-074F,2026-01-27T22:00:01.999584,15.30136434,.0001674,53.1601,8.1945,97.1762,187.1364,0,U,44718,999,568,.20154E-2,.59695E-3,0
STARLINK-1017,2019-074L,2026-01-27T05:58:09.143616,15.20866931,.0001268,53.0468,2.1480,108.7073,251.4060,0,U,44723,999,34265,.18631E-2,.41587E-3,0
STARLINK-1019,2019-074M,2026-01-27T22:00:01.999584,15.68639652,.0010892,53.0513,339.8941,57.2685,139.1860,0,U,44724,999,573,.1541E-2,.182555E-2,0
STARLINK-1020,2019-074N,2026-01-27T06:49:14.916288,15.06405398,.0001319,53.0545,32.4948,91.4675,268.6465,0,U,44725,999,34222,.12423E-3,.157E-4,0
STARLINK-1031,2019-074Z,2026-01-27T22:00:01.999584,15.73936072,.0007554,53.0474,325.3039,90.4015,42.8378,0,U,44736,999,601,.1202E-2,.177472E-2,0
STARLINK-1036,2019-074AE,2026-01-27T22:00:01.999584,15.46837092,.0002495,53.0552,24.6334,82.6393,358.1314,0,U,44741,999,573,.29614E-2,.1537E-2,0
STARLINK-1039,2019-074AH,2026-01-27T07:37:13.594080,15.18036887,.000445,53.0504,44.7320,57.0130,303.1291,0,U,44744,999,34206,.29246E-2,.60458E-3,0
STARLINK-1042,2019-074AL,2026-01-27T17:45:13.880736,15.47635424,.0003697,53.0451,290.9389,75.9967,284.1451,0,U,44747,999,34372,.59139E-3,.3071E-3,0
STARLINK-1043,2019-074AM,2026-01-27T07:43:12.975744,15.50640057,.0002644,53.0527,33.6557,20.4514,339.6600,0,U,44748,999,34222,.79294E-3,.4605E-3,0
STARLINK-1046,2019-074AQ,2026-01-27T07:41:04.327872,15.39140625,.0003857,53.0561,46.9178,45.7706,314.3614,0,U,44751,999,34203,.2662E-2,.10591E-2,0
STARLINK-1047,2019-074AR,2026-01-27T03:18:17.359488,15.31553620,.00048185,53.0719,339.9684,87.7499,272.4053,0,U,44752,999,34297,.56288784E-3,.17067E-3,0
STARLINK-1048,2019-074AS,2026-01-27T22:00:01.999584,15.42819212,.0003783,53.0548,4.3187,81.6962,92.8565,0,U,44753,999,555,.32176E-2,.145503E-2,0
STARLINK-1053,2019-074AX,2026-01-27T22:00:01.999584,15.76632313,.0003107,53.0333,289.0889,124.6968,340.8675,0,U,44758,999,586,.62458E-3,.102398E-2,0
STARLINK-1060,2019-074BE,2026-01-27T22:00:01.999584,15.99328537,.0002017,53.0409,328.8565,133.7677,120.9399,0,U,44765,999,595,.90811E-3,.455963E-2,.99795E-4
STARLINK-1063,2019-074BH,2026-01-27T22:00:01.999584,15.27809594,.0001024,53.1489,48.7353,65.7314,244.2629,0,U,44768,999,563,.54774E-1,.1667072E-1,0
STARLINK-1067,2019-074BL,2026-01-27T22:00:01.999584,15.46756783,.0004976,53.0548,40.5749,63.8910,121.7175,0,U,44771,999,581,.20302E-2,.104302E-2,0
STARLINK-1068,2019-074BM,2026-01-27T22:00:01.999584,15.53517687,.0002224,53.0535,18.1211,88.7291,314.6071,0,U,44772,999,562,.2661E-2,.175452E-2,0
STARLINK-1112,2020-001M,2026-01-27T22:00:01.999584,15.81426991,.000189,53.0405,89.8204,319.7495,11.7330,0,U,44925,999,582,.1121E-2,.232528E-2,0
